Last name,First name,Country,Affiliation
Araújo Durão,Frederico ,Brazil,Federal University of Bahia
Babič,František,Slovakia,Technical University of Košice
Cherednichenko,Olga,France,Univ Lyon 
Dedabrishvili,Mariam,Georgia,International Black Sea University
Dutta,Arpita,Singapore,National University of Singapore
Dziubich,Tomasz,Poland,Gdansk University of Technology 
Filipowska,Agata,Poland,Poznań University of Economics and Business
Ge,Mouzhi,Germany,Deggendorf Institute of Technology
Goczyła,Krzysztof,Poland,Gdańsk University of Technology
Górecki,Tomasz,Poland,Adam Mickiewicz University
Lencastre,Maria,Brazil,Escola Politécnica de Pernambuco - UPE 
Liyew,Chalachew Muluken,Italy,University of Torino 
Luković,Ivan,Serbia,University of Belgrade 
Kużelewska,Urszula,Poland,Bialystok University of Technology
Maraoui,Mohsen,Tunisia,University of Monastir
Marcinkowski,Bartosz,Poland,University of Gdańsk
Marras,Mirko,Italy,University of Cagliari
Maślankowski,Jacek,Poland,University of Gdańsk
Misra,Sanjay,Norway,Ostfold University
Mohapatra,Durga Prasad,India,NIT Rourkela
Mukta,Saddam Hossain,Finland,LUT university 
Ng,Yen Ying,Poland,Nicolaus Copernicus University
Nguyen,Phuong T.,Italy,University of L'Aquila
Nocera,Francesco,Italy,Polytechnic University of Bari
Poniszewska-Maranda,Aneta,Poland,Lodz University of Technology
Szczuko,Piotr,Poland,Gdańsk University of Technology
Taweel,Adel,Palestine,King’s College London/Birzeit University
Vagliano,Iacopo,Netherlands,Amsterdam University Medical Center
Zrigui,Mounir,Tunisia,University of Monastir
